# r	g
0.166875	0.0
0.278125	0.0
0.389375	0.0
0.500625	0.0
0.6118750000000001	0.0
0.723125	0.0
0.834375	0.0
0.945625	0.22931256869594796
1.056875	0.19193734527521616
1.168125	0.0
1.279375	0.0
1.390625	0.005030082152040149
1.501875	8.108678728427684
1.613125	0.0
1.724375	0.024339107187291043
1.835625	0.41917351267001235
1.9468750000000001	0.0
2.058125	1.6449728118834004
2.169375	3.8628451398359607
2.280625	0.0
2.391875	0.0
2.503125	0.33533881013600997
2.614375	0.0
2.725625	0.020530947559347548
2.836875	0.03205444508653036
2.948125	2.9682230057557675
3.059375	1.481587833873644
3.1706250000000002	0.24709175483705997
3.281875	0.9591258340754522
3.393125	5.768102402216531
3.504375	0.013972450422333747
3.615625	0.0019346469815539032
3.726875	0.0
3.8381250000000002	0.08930218313404613
3.949375	0.49946590382933864
4.060625	0.13264257729694912
4.171875	0.4225269007713725
4.283125	2.730616025393224
4.394375	0.0
4.505625	2.5150410760200743
4.616875	0.16362917843986025
4.728125	4.669099785834915
4.839375	0.0
4.9506250000000005	0.3164995511396048
5.061875	0.15891743062764208
5.173125	0.288012768382944
5.284375	0.0
5.395625	3.920352687569436
5.506875	0.30485346376000905
5.618125	0.05104786342416983
5.729375	0.557948432884065
5.840625	0.0
5.951875	1.3597675350258065
6.063125	0.9956332333051945
6.174375	3.4190963817245876
6.2856250000000005	0.5931490679286281
6.3968750000000005	1.4991831805319662
6.508125	0.22355920675733995
6.619375	0.01690783916652151
6.730625	3.019088564395999
6.841875	0.0398726024247085
6.953125	0.21025743395527824
7.064375	0.46142092182100586
7.175625	0.9202320836290504
7.286875	0.02399848354980987
7.398125	0.03309264573710624
7.509375	4.065983072899121
7.620625	3.1548161234602174
7.7318750000000005	0.08413626621218236
7.843125	0.06421381470689552
7.954375	0.12135512884292668
8.065625	2.5219791203677158
8.176875	0.3148078625766624
8.288125	0.4202988106906031
8.399375000000001	0.04746931832223319
8.510625000000001	1.65450251177399
8.621875	0.5711577153284298
8.733125	2.1626149379790456
8.844375	0.06168968677030372
8.955625	1.1200524543517971
9.066875	1.605460269692569
9.178125	1.4907334377864443
9.289375	0.4615928681438042
9.400625	0.13616938370167858
9.511875	1.9517307063617773
9.623125	2.3558520599367228
9.734375	0.0
9.845625	0.22237510078934553
9.956875	0.25220663304223656
10.068125	2.3517718348972245
10.179375	0.17385393230411988
10.290625	0.3616221222818053
10.401875	0.8681599008400844
10.513125	1.2934496962388955
10.624375	2.5986563159819984
10.735625	0.15637561094425334
10.846875	1.8282413975684386
10.958125	1.9705410664147132
11.069375	0.03412367289072463
11.180625000000001	0.0882141272932414
11.291875000000001	0.37230041544041
11.403125	1.9623454639483462
11.514375	0.33473131229156067
11.625625	0.93922945446587
11.736875	1.5066407204215044
11.848125	0.6907507180618514
11.959375	0.7235129793108912
12.070625	3.0516604392446345
12.181875	0.15503677865877175
12.293125	0.4489519024841264
12.404375	1.846807068153754
12.515625	0.39122861182534496
12.626875	0.3994151136146418
12.738125	0.798992306901574
12.849375	1.882470138718056
12.960625	1.2596793715516854
13.071875	0.6704992485645007
13.183125	0.2456675143876149
13.294375	0.39988100790277337
13.405625	1.6212100877996618
13.516875	1.4365749026814252
13.628125	1.008582798852948
13.739375	1.0009252541407827
13.850625	2.4771639513812174
13.961875000000001	0.034569289690315766
14.073125000000001	0.25746863189296415
14.184375000000001	1.8981162944316208
14.295625	0.8406304608176046
14.406875	0.002913174991529044
14.518125	0.906282042910682
14.629375	0.8171492773608952
14.740625	1.4544529996229303
14.851875	0.961744171766478
14.963125	1.7067685815147384
15.074375	1.4296755636933303
15.185625	0.8153155136548593
15.296875	1.0764375805365918
15.408125	0.8739086771369392
15.519375	0.5494328085427367
15.630625	1.5063395483778594
15.741875	0.40747220259901207
15.853125	0.31592445797024094
15.964375	1.5138444107403062
16.075625	0.7257938606922983
16.186875	1.6650263343479978
16.298125	1.1021545193207425
16.409375	0.11552137823753221
16.520625	1.3853896297538189
16.631875	1.1296656070551707
16.743125	2.1845763764965063
16.854375	0.2635397827182751
16.965625	0.5475368113040425
17.076875	2.4748987265982554
17.188125	0.12493812465018818
17.299375	0.14233029883586273
17.410625	0.2583340913547776
17.521875	2.2691259485870003
17.633125	0.8175866967945385
17.744375	1.0371587885593754
17.855625	0.2902874512976441
17.966875	0.7572375995137841
18.078125	2.8311623928059824
18.189375000000002	0.585304666315375
18.300625	1.402766071275634
18.411875000000002	0.37497666798063645
18.523125	1.4433163652475565
18.634375	0.05330385564102247
18.745625	0.7754088065236965
18.856875	1.0056454803968176
18.968125	1.0904657568609033
19.079375	1.4400993216628066
19.190625	1.2939704086769948
19.301875	0.4457493549718576
19.413125	0.19349241516085675
19.524375	2.8772499831221108
19.635625	0.48448383334097744
19.746875	1.0102672040576413
19.858125	0.7460584032227614
19.969375	1.2655770762758398
20.080625	0.8262711125096422
20.191875	0.8868464400291172
20.303125	0.12437394910181464
20.414375	2.0048372392089178
20.525625	0.9535345434558493
20.636875	0.3338700080700503
20.748125	0.6449428389311531
20.859375	1.5314923458911571
20.970625000000002	1.729841249368714
21.081875	0.8238584421844123
21.193125000000002	1.3050488733049044
21.304375	0.9964947344283194
21.415625	0.8508677926015968
21.526875	0.7876562749706281
21.638125	0.7926581900258641
21.749375	0.49850558412162604
21.860625	1.1416878574096216
21.971875	0.8582975621455848
22.083125	1.0772864860886993
22.194375	1.3851636001388754
22.305625	0.0
