# t	u	ec	e
0.005	-2.413259402586868	0.9900676700721288	-1.423191732514739
0.009999999999999995	-2.398567477515591	0.9753757492862623	-1.4231917282293285
0.014999999999999965	-2.3775883539076816	0.954396661876078	-1.423191692031604
0.019999999999999934	-2.3515120701969603	0.9283204193209426	-1.4231916508760176
0.024999999999999904	-2.321735517001437	0.898543900262472	-1.4231916167389653
0.029999999999999874	-2.289499279503589	0.8663076740832928	-1.4231916054202958
0.034999999999999976	-2.255534375337134	0.8323427674606527	-1.4231916078764812
0.04000000000000012	-2.2199624222759424	0.7967708024456809	-1.4231916198302614
0.04500000000000026	-2.182633906028855	0.7594422910372748	-1.4231916149915804
0.050000000000000405	-2.143753848065653	0.7205622577687764	-1.4231915902968768
0.05500000000000055	-2.1044203055420727	0.6812287754971829	-1.42319153004489
0.06000000000000069	-2.0667132452487205	0.6435217658199544	-1.4231914794287661
0.06500000000000083	-2.0332749012925997	0.610083496264639	-1.4231914050279608
0.07000000000000098	-2.006596854822083	0.583405484344975	-1.423191370477108
0.07500000000000112	-1.9883714579517422	0.565180091899418	-1.423191366052324
0.08000000000000126	-1.979166489811744	0.5559751185776559	-1.423191371234088
0.08500000000000141	-1.9784672172309499	0.5552758152199103	-1.4231914020110394
0.09000000000000155	-1.984974715450674	0.5617832672223912	-1.423191448228283
0.0950000000000017	-1.9969602981358756	0.5737688042888301	-1.4231914938470454
0.10000000000000184	-2.012554720602812	0.589363187057194	-1.4231915335456176
0.10500000000000198	-2.0299307255086045	0.6067391560473995	-1.4231915694612054
0.11000000000000212	-2.0474056509403913	0.6242140579625031	-1.4231915929778884
0.11500000000000227	-2.0635115832212736	0.6403199512538278	-1.4231916319674456
0.12000000000000241	-2.077081263956185	0.6538896240711817	-1.4231916398850035
0.12500000000000255	-2.0873388367094132	0.6641471984002278	-1.4231916383091852
0.130000000000002	-2.0939436492518095	0.6707520126398407	-1.4231916366119688
0.13500000000000145	-2.0969838954056472	0.6737922889095356	-1.4231916064961119
0.1400000000000009	-2.096896136799044	0.6737045434133005	-1.4231915933857433
0.14500000000000035	-2.0943532738657558	0.6711617040692137	-1.4231915697965423
0.1499999999999998	-2.090180645506405	0.6669891052959145	-1.4231915402104902
0.15499999999999925	-2.0852879887893967	0.6620964740108465	-1.42319151477855
0.1599999999999987	-2.080632025241324	0.6574405313078019	-1.4231914939335224
0.16499999999999815	-2.0771657104258052	0.6539742375177161	-1.423191472908089
0.1699999999999976	-2.0757428732603156	0.6525514168229241	-1.4231914564373915
0.17499999999999705	-2.0769854117831152	0.6537939622652625	-1.4231914495178528
0.1799999999999965	-2.081156371484635	0.6579649129227779	-1.4231914585618568
0.18499999999999595	-2.088087292163095	0.6648958221835598	-1.4231914699795352
0.1899999999999954	-2.097203561995899	0.6740120692420325	-1.4231914927538665
0.19499999999999484	-2.1076556953922303	0.684464178505725	-1.4231915168865055
0.1999999999999943	-2.1185077484184607	0.6953162101810082	-1.4231915382374525
0.20499999999999374	-2.1289225618026677	0.7057310003958119	-1.4231915614068558
0.2099999999999932	-2.1382921174943106	0.7151005518813801	-1.4231915656129306
0.21499999999999264	-2.146292045587073	0.7231004763834921	-1.4231915692035813
0.2199999999999921	-2.152881134737729	0.7296895782514574	-1.4231915564862714
0.22499999999999154	-2.1582710893305648	0.7350795381614261	-1.4231915511691386
0.229999999999991	-2.16284245235852	0.7396509066264341	-1.423191545732086
0.23499999999999044	-2.1670033452809285	0.7438117971101381	-1.4231915481707904
0.2399999999999899	-2.171009526770657	0.7478179765794125	-1.4231915501912449
0.24499999999998934	-2.1748178187352547	0.7516262437707764	-1.4231915749644783
0.2499999999999888	-2.178084925191398	0.7548933185525903	-1.4231916066388077
0.25499999999998824	-2.1803219144212225	0.7571302818829346	-1.423191632538288
0.2599999999999877	-2.181176707756487	0.7579850630790637	-1.4231916446774235
0.26499999999998713	-2.1806909959732432	0.7574993552468056	-1.4231916407264378
0.2699999999999866	-2.179418646320153	0.7562270248505691	-1.4231916214695841
0.27499999999998603	-2.17834538710694	0.7551537890783959	-1.4231915980285441
0.2799999999999855	-2.178603350092024	0.7554117724792878	-1.4231915776127364
0.28499999999998493	-2.181083274262567	0.7578917238569011	-1.4231915504056658
0.2899999999999844	-2.1860885763020423	0.7628969916561826	-1.42319158464586
0.29499999999998383	-2.1932024906163754	0.7700109002057057	-1.4231915904106693
0.2999999999999833	-2.2014413768253602	0.7782497588447409	-1.4231916179806194
0.30499999999998273	-2.209580715291734	0.7863890641837621	-1.423191651107972
0.3099999999999822	-2.216516502112321	0.7933248544201444	-1.4231916476921764
0.31499999999998163	-2.2215358268196868	0.7983441566451347	-1.4231916701745522
0.3199999999999811	-2.2244556515707585	0.8012639812646544	-1.423191670306104
0.3249999999999805	-2.225620366212168	0.8024287198121329	-1.4231916464000351
0.32999999999998	-2.2257534309303777	0.8025617866857314	-1.4231916442446464
0.3349999999999794	-2.225696628617426	0.8025049881250231	-1.4231916404924023
0.3399999999999789	-2.226114308466494	0.8029226935390353	-1.4231916149274588
0.3449999999999783	-2.2272496102672235	0.8040579702372749	-1.4231916400299485
0.3499999999999778	-2.228842258838238	0.8056505934829292	-1.4231916653553092
0.3549999999999772	-2.230232647408308	0.8070409632745644	-1.423191684133743
0.35999999999997667	-2.2306499946296006	0.8074582870500356	-1.423191707579565
0.3649999999999761	-2.229537542650293	0.8063458329231225	-1.4231917097271702
0.36999999999997557	-2.226795560980027	0.8036038542198056	-1.4231917067602213
0.374999999999975	-2.222812146821628	0.7996204581658384	-1.4231916886557898
