# t-t0	Cv	<r^2>	Csigmaxy
0.050000000000000405	2.0033671500477923	2.003387588121958e-8	0.009447494787262345
0.10000000000000184	2.0194472339188287	2.0194915801749586e-8	0.7201807521253137
0.1499999999999998	2.0486735441721065	2.0487473581760024e-8	7.152216831991325
0.1999999999999943	2.0950014290102725	2.0951151819458496e-8	251.3359187803445
0.2499999999999888	2.1647657071401496	2.164932953683039e-8	1915.5613169088458
0.2999999999999833	2.2595715567525065	2.259768420353591e-8	1634.8785867935667
0.3499999999999778	2.3071419222072835	2.3070378807569234e-8	637550.7594019569
0.39999999999997227	2.2611744028867964	2.261402761495634e-8	1.1004661489384815e7
0.44999999999996676	2.480592760451469	2.481011118664625e-8	503448.3221046038
0.49999999999996125	2.4817160481238747	2.4812508027041435e-8	83630.02900459639
0.5499999999999557	2.539388317253655	2.5397877705277554e-8	5555.472917693871
0.5999999999999502	2.6154567173324126	2.6154265699149474e-8	1.1824851603544584e7
0.6499999999999447	2.6305461944707584	2.630580387480081e-8	3.860615188918289e6
0.6999999999999392	2.614019596278544	2.6141668594885705e-8	40163.11535227416
0.7499999999999337	2.7733412295490765	2.773451399042252e-8	52081.01395505233
0.7999999999999282	2.6576324489682275	2.6572995950909e-8	247230.74832939942
0.8499999999999227	2.729163317964287	2.7292993711010563e-8	14028.124411910687
0.8999999999999172	2.7208401750605247	2.7208121138228402e-8	314712.3881599067
0.9499999999999117	2.682310033521726	2.6822419230055007e-8	10665.81534047687
0.9999999999999062	2.6788380262873117	2.6789053367262815e-8	747804.862949377
1.0499999999999008	2.743104723230015	2.7431359180844222e-8	217148.37724649414
1.0999999999998953	2.6651791200840806	2.665108440203385e-8	716358.146577552
1.1499999999998898	2.637051376016118	2.6369480275403727e-8	1.9721649973746866e7
1.1999999999998843	2.6077601105975763	2.607654474622957e-8	3652.940489440165
1.2499999999998788	2.7271081655346694	2.7277672515900103e-8	1.3087886866796985e6
1.2999999999998733	2.766649788149789	2.7663322338108045e-8	5.941785357235701e6
