# t-t0	Cv	<r^2>
0.04999999999990168	2.3544890259482245	0.006703352605991252
0.1000000000000072	1.9822940708903132	0.026895995349163992
0.1500000000001127	1.7465541429049318	0.05970269845858869
0.20000000000021823	1.4312806281429502	0.10295164813016752
0.25000000000032374	1.1124316547736657	0.15236810618300195
0.30000000000042926	0.8225206557903906	0.20689098711263348
0.35000000000053477	0.6719927597605238	0.26512430716162966
0.4000000000006403	0.6070981853221303	0.326037778582004
0.4500000000007458	0.5758934432975183	0.3898567134949589
0.5000000000008513	0.3446428489752412	0.4506652340062741
0.5500000000009568	0.24397733923900644	0.5045033105068106
0.6000000000010624	0.1876290422060133	0.5630500669455167
0.6500000000011679	0.055542592932329014	0.6271085528128436
0.7000000000012734	-0.08819382346331556	0.6902842576823596
0.7500000000013789	-0.06853437917323257	0.7584174255209155
0.8000000000014844	0.008438704865585163	0.8326483074924647
0.8500000000015899	-0.019054562105874962	0.9061426944110582
0.9000000000016954	-0.11246217118310874	0.9843885963929854
0.950000000001801	-0.21888027471858088	1.0590927328662585
1.0000000000019065	-0.10128293808117904	1.128027040911376
1.050000000002012	0.06325969707793494	1.1961293795535013
1.1000000000021175	0.17135833301565997	1.2651563424028338
1.150000000002223	0.21251209779537583	1.336012992536933
1.2000000000023285	0.20568458664441103	1.4075716474987903
1.250000000002434	0.1368679116451018	1.4675853379244614
1.3000000000025396	0.05921988550475861	1.5193274509995076
1.350000000002645	0.03356989014165199	1.5775727472898067
1.4000000000027506	-0.011039576385601317	1.6446049982306987
1.4500000000028561	-0.009583400540969289	1.717127601096337
1.5000000000029616	0.012144795837209425	1.793102198971392
1.5500000000030671	-0.08784100635297343	1.876966444128253
1.6000000000031727	-0.21447292721006173	1.9707891605373653
1.6500000000032782	-0.18400321967938033	2.071232723696804
1.7000000000033837	-0.215467726160118	2.1788015777555403
1.7500000000034892	-0.24685699026280616	2.2877371661195314
1.8000000000035947	-0.19322127264887357	2.3952498718439688
1.8500000000037002	-0.14837069232355152	2.492396995852995
1.9000000000038058	-0.16440980445570968	2.5758626245013057
1.9500000000039113	-0.1383521526619655	2.652588208583262
2.0000000000040163	0.07909055207496714	2.7175428013647354
2.0500000000039	0.18639967904377003	2.771174858318829
2.1000000000037833	0.2721339300559108	2.8309115240790987
2.1500000000036668	0.3442799552482088	2.8877561190845045
2.2000000000035502	0.2102843378648193	2.930943651184975
2.2500000000034337	0.19173891812186497	2.975776579907796
2.300000000003317	0.18154008895549345	3.03300556244281
2.3500000000032006	0.039464487181880475	3.0959106501940017
2.400000000003084	-0.006147706254159617	3.160654509062898
2.4500000000029676	0.06619099997187212	3.2267671573555585
2.500000000002851	0.2043389297294448	3.3009090585709915
2.5500000000027345	0.25556940472550993	3.390673394421276
2.600000000002618	0.30000636107298734	3.4897983849674024
2.6500000000025015	0.1482675946828085	3.5942351024135153
2.700000000002385	-0.05862660747641244	3.6957985027511966
2.7500000000022684	-0.11639073158680248	3.8010141689041497
2.800000000002152	-0.2055731963669349	3.8875799348259155
2.8500000000020353	-0.3039650766815984	3.953537277313249
2.900000000001919	-0.22683649516776683	4.02344515542176
2.9500000000018023	-0.029222424254522716	4.096103437920366
3.0000000000016858	0.14128089575627645	4.177399483971755
3.0500000000015692	0.24320342840493495	4.263088628795712
3.1000000000014527	0.08549930179032394	4.329039383341219
3.150000000001336	-0.04937910300024586	4.386596005765638
3.2000000000012196	-0.1860196576747783	4.4454026270150395
3.250000000001103	-0.24969743499365157	4.485915210240564
3.3000000000009866	-0.25657610358046795	4.5273913112475705
3.35000000000087	-0.15369862121229896	4.5790559533932225
3.4000000000007535	-0.06550478747069231	4.626100510591252
3.450000000000637	0.13908812493969042	4.6708890975551585
3.5000000000005205	0.12938207083926198	4.727873657480575
3.550000000000404	0.021866887154559665	4.773538563522383
3.6000000000002874	0.049412496449581005	4.8189000950477165
3.650000000000171	-0.02843022666419106	4.878645237498697
3.7000000000000544	-0.15278683315573263	4.94883392499379
3.749999999999938	-0.1889479971351066	5.0172148852327085
3.7999999999998213	-0.1340741099558894	5.082316648165205
3.8499999999997048	-0.1256120952940823	5.171656091060529
3.8999999999995882	-0.16517464928599854	5.2845354776002536
3.9499999999994717	0.06159910235665114	5.406637106360002
3.999999999999355	0.22310024194630418	5.542017874041768
4.049999999999239	0.11709126419568584	5.6724210083482385
4.099999999999122	0.05390531582585546	5.8003207908619245
4.149999999999006	0.05901743582461738	5.925124793896469
4.199999999998889	0.05817042959907112	6.05320038989804
4.2499999999987725	-0.04381962564917762	6.164039303647445
4.299999999998656	-0.17354455229321605	6.244650068041412
4.3499999999985395	-0.035435959755822095	6.31258428767905
4.399999999998423	-0.05051621191200239	6.374734981557204
4.449999999998306	0.1555910229907332	6.4367200871599355
4.49999999999819	0.18803193075092792	6.513173608057257
4.549999999998073	0.12221690117263914	6.596667695233013
4.599999999997957	0.05629062014990614	6.672340410052674
4.64999999999784	0.005528081193479364	6.7421442214966625
4.699999999997724	-0.0033061380648095728	6.806463935491994
4.749999999997607	0.029757545779585667	6.879969106424286
4.799999999997491	0.10597798340180048	6.9647983526114725
4.849999999997374	0.1656545456009818	7.039487246434186
4.899999999997258	0.23663614725384652	7.131746847748831
4.949999999997141	0.2697279343377241	7.229981209754027
4.999999999997025	0.40926178065725205	7.328950972371099
5.049999999996908	0.4289427515982905	7.426946201810512
5.0999999999967915	0.39176674107656595	7.521425570262434
5.149999999996675	0.31940436462652255	7.638227800673587
5.1999999999965585	0.27909230906854254	7.778110754987813
5.249999999996442	0.15814220865665216	7.910590024871758
